date,price,count,market_cnt
20230707,5181.0,1058,7
20230710,5397.0,1820,9
20230711,5477.0,1676,10
20230712,5430.0,1753,10
20230713,5510.0,1673,10
20230714,5194.0,961,7
20230717,5349.0,1809,10
20230718,5477.0,1769,10
20230719,5451.0,1612,10
20230720,5443.0,1595,10
20230721,5139.0,1029,6
20230724,5394.0,1843,10
20230725,5527.0,1770,10
20230726,5513.0,1617,8
20230727,5405.0,1419,10
20230728,4853.0,152,4
20230731,5282.0,1607,8
20230801,5509.0,1814,10
20230802,5280.0,1860,9
20230803,5540.0,1567,10
20230804,5364.0,987,6
20230807,5560.0,1890,10
20230808,5560.0,1916,10
20230809,5516.0,1760,10
20230810,5413.0,1818,10
20230811,5048.0,376,4
20230814,5216.0,1739,6
20230815,5309.0,1494,3
20230816,5216.0,1909,10
20230817,5619.0,1706,10
20230818,5421.0,456,5
20230821,5484.0,1886,8
20230822,5503.0,2060,10
20230823,5403.0,1827,8
20230824,5689.0,1507,10
20230825,5552.0,824,8
20230828,5693.0,2015,10
20230829,5680.0,2089,9
20230830,5746.0,1547,9
20230831,5690.0,1865,10
20230901,5488.0,834,7
20230904,5978.0,1714,10
20230905,5906.0,2299,10
20230906,6144.0,1817,11
20230907,6264.0,1953,10
20230908,5943.0,1065,7
20230911,6082.0,2614,10
20230912,5938.0,2298,10
20230913,5854.0,2606,10
20230914,5725.0,2387,10
20230915,5608.0,1536,8
20230918,5571.0,2650,10
20230919,5513.0,2618,10
20230920,5632.0,2167,10
20230921,5619.0,2649,10
20230922,5545.0,1802,7
20230925,5133.0,2714,9
20230926,4806.0,1164,9
20231002,4704.0,1155,1
20231003,4795.0,1044,2
20231004,5118.0,2079,8
20231005,5288.0,2117,10
20231006,5295.0,442,5
20231009,5032.0,1764,4
20231010,5063.0,2822,10
20231011,4955.0,2643,10
20231012,5105.0,2089,11
20231013,4450.0,590,4
20231016,5136.0,2393,10
20231017,4987.0,2526,9
20231018,4968.0,2207,10
20231019,4871.0,2221,11
20231020,4686.0,1138,7
20231023,4819.0,2501,8
20231024,4910.0,2250,10
20231025,4875.0,2353,9
20231026,4777.0,2024,10
20231027,4534.0,308,3
20231030,4840.0,2150,8
20231031,4845.0,2113,10
20231101,4652.0,2063,9
20231102,4665.0,2083,10
20231103,4578.0,965,7
20231106,4754.0,2224,8
20231107,4850.0,2042,8
20231108,4939.0,1944,8
20231109,4848.0,2260,8
20231110,4666.0,1090,5
20231113,4803.0,2407,8
20231114,5079.0,1999,8
